dicom_id,split
5c549479-dcb2c159-300ce6a6-b8362dc7-c43d8f1d,train
655d3207-d13024d7-c94b6261-b2f2448d-6d4f566f,train

13b3f835-9d35e2fb-bef55a2d-4bf1a470-21b7626c,train

264b773c-cd573e36-8b42c4fd-971c4302-1946ed5a,train

46258faf-c930aa13-1b09c523-4972126b-47bba114,train

526cdb3f-f4ef95d2-68e47227-531a01e7-b3f4744c,train
e12e1dd7-9b6e4d27-63a06a72-937c9716-451f2db8,train

515cb0a1-2209cb99-b1f8292c-d6d6acc1-1533f233,train
7b43b8ff-190d3ca9-03cfbbd3-45ad3d0d-72d06c1c,train

32ec8188-8c334483-81cb6b13-428e8019-c0db3517,train

46b5b999-bd0dd08a-4756e4ca-de3d7098-494c0126,train
62cd4342-77a1737e-da11be7c-6914655a-20dc273b,train

a4d62fc4-613c998d-9a906778-5703a1a3-21507e30,train

5ba813f9-7033915e-56868fad-30e017d8-8f69eeba,train
139b2deb-4cbe9f56-ab409b53-eca8cf84-948944b3,train
ab41acce-48c02bd3-f4172b1a-f1eb4eee-8032c437,train
246bf56f-86895e3e-aaf9221d-84e307df-55daed75,train

000ffbff-3d93bcef-da8b17cd-fbcede53-51728df9,train
f576c221-e516f6b2-ee125faa-a1af8c31-ed2991b8,train

bcb5e90b-c7d3f928-7bd202ee-4e772a8f-e2240e90,train

5df8c586-2f6adf15-722e6f13-ffa8a117-acd92b9a,train

91623d3d-e82bd37b-a89a94ab-6a69e4ac-8e679081,train
58c735ba-cc7d2492-f290f622-154bc6f2-5fdc853c,train

59d23a34-823a7104-45271e4a-39555147-92da6698,train
9529ad06-bd4c030d-c2fd3c79-bd22fe59-93792d9d,train

1bfd4f62-e1254bfb-54b0a6ac-29453546-2c0e7100,train

c2573c49-b633214e-7ade830e-9fd88137-e444e65e,train
486db439-36e5e537-84a12c97-ca71ac70-d32f8ec3,train
e7429a0c-65a17034-eaa42fd3-dfb5e1e5-05ec8bb9,train

ca220440-2b8510e6-fd0298b7-ab4fc422-434e558f,train

461c1b4b-8af2df2c-c3ea9702-28e13d4f-5e912d17,train

8452bd2c-ba775d23-e46872fa-f0e9c5bd-63897743,train

c9cd6c49-2bebaea2-82c0c5dc-c3d2e9a7-560599b0,train
5668d9ef-e5b61aae-8a38e823-b668e8ba-837392e7,train

874cdceb-f11d06e9-1aaf9f3e-6760e629-4060531f,train
5daab9a4-fbc8cdec-c84cccfe-ec0da40a-fce44af8,train

d80a6738-8d88d0fb-04d18b57-35d87a21-0ec6ff6a,train

5db0c1c9-ed5d119d-aaad1f9a-7c0edc05-e53df1c9,train
510e2767-2a04a9c8-afb492f8-57d38e8e-75d5d488,train

b9c18cbb-323135fb-0118b586-6d8846f0-a1099863,train
1844f765-ae8c22e1-b7f8d30e-03b721fb-83a616a9,train

c979aaaa-4bb31072-c9884178-6e3ced8b-edf531fa,validate
e88fa460-a2901f48-730373f3-89be4f0a-89e6e2a9,validate

878341cc-7587aff2-e1f70246-3a29413e-36f37ddb,validate

d170e96d-5241319c-af503f23-ebe1d998-b9396ee5,validate
ff260ed6-eff650ee-0d5d5964-3af89ad3-8152f5dd,validate
ed842464-13c00e81-9df3129d-439db19a-7b5804f7,validate

7f6d7289-9941e757-2663be13-0dde50f8-5d2670aa,validate

91612855-728b71c5-52138016-9cb33506-c5fc594e,validate

a8d732de-7a28af8e-8a5a6a3f-c66be26f-ad23f1aa,validate
15021246-7240defd-a21246de-0fed22d9-fe09d00e,validate
8553b174-2aa2d55b-4b3dbe15-7655300b-ea62c5ae,validate

380fda55-d2283afd-511dcad7-803d3b6a-ed8c6b64,validate
8710a9ad-589288a8-7983c163-56388801-14daa160,validate

1a734389-4bcb9234-220a253e-c22386fd-4f018ada,test
4b842f9a-e380a620-f62f355a-f706be25-95150ec3,test

47aa8fda-9852d351-ef7343e7-38ee20f2-b982b15d,test
e95b714a-2e4aaa4a-b64b4ff7-be56c461-c4a2daff,test
21895b3c-f3dac4a2-da11d756-cf67ed5c-9c175d9a,test

e2856783-ffa5ec26-043b0303-21aeddc6-b11b2876,test

97a5f522-bb4f6eac-5f7d4736-30880e7b-872ea26f,test
51ea4142-02884657-6fad2f5e-4b5e3e24-7eda58aa,test
1231b887-acb0db8e-542e2670-f80f2767-19869a42,test

0c69d156-6f5f3a89-7d361367-57f8c979-583ef198,test

