dicom_id,split
02aa804e-bde0afdd-112c0b34-7bc16630-4e384014,train
174413ec-4ec4c1f7-34ea26b7-c5f994f8-79ef1962,train

2a2277a9-b0ded155-c0de8eb9-c124d10e-82c5caab,train
e084de3b-be89b11e-20fe3f9f-9c8d8dfe-4cfd202c,train

68b5c4b1-227d0485-9cc38c3f-7b84ab51-4b472714,train
fffabebf-74fd3a1f-673b6b41-96ec0ac9-2ab69818,train

ea030e7a-2e3b1346-bc518786-7a8fd698-f673b44c,train

096052b7-d256dc40-453a102b-fa7d01c6-1b22c6b4,validate
b79e55c3-735ce5ac-64412506-cdc9ea79-f1af521f,validate
dcfeeac4-1597e318-d0e6736a-8b2c2238-47ac3f1b,validate

0c4eb1e1-b801903c-bcebe8a4-3da9cd3c-3b94a27c,validate
2a280266-c8bae121-54d75383-cac046f4-ca37aa16,validate

9e7a6aae-2580e589-6212d336-9813ebbd-a9239a34,test
8959e402-2175d68d-edba5a6c-baab51c3-9359f700,test
b75df1bd-0f22d631-52d73526-2ae7b85a-d843b39d,test
